loss,acc
5.2876024,0.03515625
4.941786,0.0546875
5.1593657,0.05078125
4.9755306,0.0546875
5.0652723,0.046875
5.12986,0.03125
5.098323,0.0390625
4.9915895,0.0546875
4.955885,0.0234375
5.0771694,0.03125
5.014312,0.05859375
5.0107474,0.03515625
5.1299524,0.04296875
5.1379957,0.04296875
4.978615,0.0234375
4.986747,0.0234375
5.102579,0.03515625
4.9276304,0.0546875
4.9373713,0.046875
5.2117815,0.03515625
4.880456,0.0703125
5.1057544,0.0546875
5.0069747,0.03515625
4.952299,0.078125
5.0645914,0.03515625
5.1066008,0.02734375
5.098733,0.05078125
4.928232,0.05078125
5.046208,0.0703125
5.0687876,0.05078125
5.111694,0.0390625
5.0486917,0.03515625
5.117201,0.03515625
5.1907444,0.046875
5.104168,0.02734375
5.128824,0.03125
4.8930607,0.06640625
5.0697227,0.0390625
5.068487,0.0234375
5.049469,0.05078125
4.910344,0.03515625
5.0008383,0.04296875
4.823634,0.0703125
4.9717207,0.05078125
4.9623733,0.04296875
4.934357,0.07421875
4.932887,0.0390625
5.067236,0.03125
5.0870676,0.04296875
5.117321,0.04296875
4.9553614,0.046875
5.094525,0.03515625
5.194005,0.05859375
5.3593335,0.03515625
5.034874,0.05859375
4.957587,0.046875
5.1276655,0.03125
5.0831823,0.04296875
5.041912,0.03125
5.0424995,0.0546875
4.9569907,0.046875
4.962898,0.0546875
5.05662,0.04296875
5.0962424,0.0546875
5.1378474,0.05078125
4.89085,0.0625
4.916719,0.078125
5.21686,0.0390625
5.042786,0.046875
5.279353,0.04296875
5.061328,0.0390625
5.0273485,0.046875
5.1193123,0.04296875
5.120243,0.03125
5.028484,0.0703125
5.146757,0.0390625
5.1056576,0.0390625
4.9952507,0.05078125
5.217641,0.0390625
5.063697,0.04296875
5.0762753,0.07421875
5.0821795,0.0546875
5.221803,0.01953125
5.0711994,0.05859375
5.0977006,0.0625
5.1918726,0.0390625
5.058919,0.05078125
5.072442,0.0546875
5.0221796,0.046875
5.1614623,0.0390625
5.064165,0.04296875
5.0473757,0.04296875
4.9470177,0.05859375
5.097892,0.07421875
5.202934,0.04296875
5.077793,0.02734375
4.9992523,0.0546875
5.00387,0.04296875
4.943364,0.07421875
5.035754,0.046875
5.0754194,0.0625
4.9766326,0.05859375
5.0542865,0.05078125
4.891472,0.0546875
4.873349,0.04296875
5.013006,0.03515625
4.9639874,0.08203125
5.1537566,0.0390625
5.030379,0.05078125
4.9520392,0.0703125
4.8135595,0.046875
5.039693,0.03125
5.121215,0.0546875
5.1310296,0.04296875
5.0606356,0.0390625
5.001351,0.06640625
5.168129,0.0546875
4.87854,0.05078125
5.0824585,0.06640625
4.9681263,0.0625
5.116699,0.03515625
5.0694113,0.0625
4.942963,0.06640625
5.0174756,0.0390625
4.9291124,0.05859375
5.1505694,0.04296875
5.2656207,0.046875
4.918427,0.0703125
5.099898,0.05078125
5.02751,0.06640625
5.0109544,0.0546875
4.9536805,0.05859375
5.2027354,0.0625
5.1242766,0.04296875
5.1499786,0.03125
5.0967555,0.0625
5.1479797,0.046875
5.001981,0.05078125
5.4085827,0.03515625
4.9076643,0.09375
5.0767646,0.046875
5.1866217,0.05078125
5.3540406,0.0234375
5.0981617,0.05859375
5.1685576,0.05078125
4.9669642,0.0625
5.071599,0.03125
4.9983644,0.0546875
5.052966,0.0546875
4.973921,0.0703125
5.1252594,0.046875
5.046968,0.05078125
5.137725,0.05078125
5.079065,0.0703125
4.9594154,0.0625
5.048376,0.0546875
5.237544,0.046875
5.0373783,0.05859375
5.1206427,0.078125
5.228627,0.02734375
4.9291244,0.0625
5.0531416,0.0703125
5.268527,0.05859375
4.9746103,0.06640625
4.991765,0.046875
5.106163,0.05078125
4.958906,0.046875
5.202669,0.04296875
5.0561285,0.0546875
5.1210423,0.03515625
5.2179813,0.0390625
5.239683,0.015625
5.1406164,0.06640625
4.9482403,0.05078125
5.2763724,0.03515625
5.1764936,0.01953125
5.0899806,0.0390625
5.1150436,0.03125
5.279866,0.04296875
5.061839,0.04296875
5.300045,0.05859375
5.1119256,0.05078125
5.3766575,0.03515625
5.038535,0.046875
5.042369,0.0234375
5.008133,0.0625
4.971937,0.0390625
5.060367,0.03515625
5.058385,0.04296875
5.176486,0.046875
5.4043293,0.0390625
5.1871157,0.0546875
5.2141805,0.03125
5.2299757,0.046875
5.011506,0.04296875
5.152922,0.0390625
5.0822573,0.05078125
5.023625,0.0625
5.1147237,0.0546875
5.041292,0.046875
5.0881796,0.046875
5.008478,0.06640625
5.040738,0.04296875
4.9944525,0.0625
5.0549173,0.0546875
5.208531,0.02734375
4.9871945,0.0546875
5.1974382,0.03125
4.9533377,0.04296875
5.2532206,0.03515625
5.003892,0.05859375
4.9870033,0.0546875
4.8465223,0.046875
5.095921,0.0234375
5.142041,0.078125
5.213809,0.05859375
5.167304,0.03125
5.0776606,0.046875
5.08106,0.0703125
5.138098,0.07421875
5.2396197,0.05078125
4.9029703,0.06640625
4.9090285,0.06640625
5.243474,0.04296875
5.0056295,0.04296875
5.176589,0.03125
4.932786,0.09375
5.246032,0.04296875
5.1994824,0.0390625
5.102602,0.06640625
5.13444,0.02734375
5.0075006,0.05078125
5.070071,0.03125
5.0191255,0.046875
5.0541086,0.0390625
5.184811,0.02734375
5.072424,0.05859375
5.05807,0.07421875
5.1698728,0.05859375
5.5399284,0.0390625
5.1118975,0.04296875
5.203105,0.05859375
5.044015,0.046875
4.9572287,0.0546875
5.1237564,0.06640625
5.0127707,0.0625
5.1391373,0.04296875
5.127353,0.04296875
4.993001,0.0703125
5.01383,0.07421875
5.221075,0.0546875
5.1692076,0.0390625
5.2307787,0.0625
5.2191496,0.05859375
5.2599163,0.07421875
5.047006,0.06640625
5.1471744,0.0546875
5.002907,0.078125
5.1163397,0.05859375
5.1559987,0.03515625
4.8929796,0.05859375
5.2361264,0.0546875
5.0447555,0.0625
5.1282206,0.05859375
5.141893,0.06640625
